tau,gamma,gamma_lo,gamma_hi,ftp,ftp_lo,ftp_hi
0.25196359293170184,-18191.52558004935,-80081.90777483817,21778.64274970036,1.2129644937453086e-09,1.3848903611286884e-10,3.0069713393819006e-09
0.27423765732649524,-17376.768416978026,-79746.88541214095,22495.643787421595,1.2340870409244317e-09,1.4713548959872426e-10,3.0644869931223277e-09
0.29848079169243336,-16440.061275836397,-79032.34246110881,23240.97135123002,1.2589171797229723e-09,1.5249416298951235e-10,3.143546515632577e-09
0.3248670655878381,-15483.42740881374,-77222.73731397161,24007.762696700152,1.2800924524198716e-09,1.5621303806637153e-10,3.19448810896244e-09
0.3535859366535183,-14560.737991733036,-74165.25783393122,24743.65303285229,1.2928573520135286e-09,1.5790649964522202e-10,3.195662798769227e-09
0.3848436109487433,-13692.679300072796,-70628.4884897397,25354.282408575724,1.2977828207045163e-09,1.545295573733704e-10,3.170539475473702e-09
0.41886452354352793,-12854.968042109507,-67476.94448194103,25750.030002430078,1.295841674986208e-09,1.4375945105550796e-10,3.153264336399966e-09
0.45589294999810687,-12007.388036050936,-65074.602107211605,26030.40882257614,1.2893375291470432e-09,1.293728839421664e-10,3.1667939017883297e-09
0.4961947603002908,-11113.853317019591,-63291.25791587437,26443.88612267084,1.280629845437719e-09,1.2026125696218883e-10,3.2176505391527366e-09
0.5400593278542374,-10147.809128658386,-61716.23950278322,27124.023945136894,1.2679598401190341e-09,1.2099178943596658e-10,3.291467397087139e-09
0.5878016072274924,-9147.838244831879,-59950.80436735662,27959.882916981805,1.246640485715285e-09,1.246754728750848e-10,3.3538934714797647e-09
0.6397643955748437,-8187.683653270638,-57639.34291553206,28668.905945793675,1.2105067249362182e-09,1.1818488229072122e-10,3.3592538374386746e-09
0.696320793976389,-7296.385163829449,-54700.328322942434,29111.927663676062,1.1603666692336304e-09,9.636119763813677e-11,3.290109998702493e-09
0.7578768863625945,-6453.752197496793,-51587.09725508704,29476.081877064844,1.1111880086571482e-09,6.881358212145713e-11,3.182548430027549e-09
0.8248746552614599,-5611.206176038591,-48847.08533469696,30048.640633616447,1.0798431346702102e-09,4.9756056257237954e-11,3.0879872734440846e-09
0.8977951553033332,-4732.733899511267,-46685.75096947401,31026.6775522181,1.0705735612450178e-09,4.3652081709237845e-11,3.035230248147481e-09
0.9771619672696181,-3820.8562032528744,-44976.2381686145,32472.999148384315,1.0746562778200807e-09,4.354152523125272e-11,3.027744030001323e-09
1.0635449574860134,-2891.048935885725,-43475.10464285258,34312.92973059209,1.0828477261511407e-09,4.127881305714899e-11,3.056926480695821e-09
1.157564369553306,-1974.5989085244667,-42141.05147440724,36374.86266519049,1.0997471502732837e-09,3.6491155064618195e-11,3.1198429980028324e-09
1.2598952777950285,-1122.7376332794674,-41087.679499241065,38371.62276166577,1.1401007436571467e-09,3.540990813155282e-11,3.2182909107340287e-09
